name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC4146,,196.043250,19.278250,0.52,G,0.38,9,
IC4147,,196.039292,20.250889,0.32,G,0.17,156,
IC4148,,196.044542,19.259167,0.41,G,0.21,68,
IC4149,,196.045083,22.289667,0.65,G,0.39,82,
IC4150,,196.054333,21.986722,,*,,,
IC4151,,195.995583,36.857889,0.40,GTrpl,,,
IC4151 NED01,,195.996167,36.858028,0.47,G,0.23,8,
IC4151 NED02,,195.997250,36.858444,0.30,G,0.19,131,
IC4152,,195.993583,38.198611,0.75,G,0.63,11,
IC4153,,196.110708,19.044972,,*,,,
IC4154,,196.117792,23.575028,0.62,G,0.53,111,
IC4155,,196.037083,40.015444,,*,,,
IC4157,,196.077417,38.663583,,*,,,
IC4158,,196.102667,36.479889,0.76,G,0.25,125,
IC4159,,196.191625,22.242139,0.33,G,0.24,127,
IC4160,,196.200250,22.892472,0.43,G,0.20,22,
IC4161,,196.147167,39.977472,0.71,G,0.18,107,
IC4162,,196.262458,20.554806,0.33,G,0.24,165,
IC4163,,196.283375,20.770722,0.40,G,0.33,31,
IC4164,,196.310375,20.547111,0.45,G,0.20,127,
IC4165,,196.237333,39.924917,0.64,G,0.60,16,
IC4166,,196.327458,31.442306,1.01,G,0.49,177,
IC4167,,196.378125,21.910028,0.40,G,0.25,160,
IC4168,,196.294625,40.049694,0.65,G,0.50,74,
IC4169,,196.300375,38.772472,0.60,GPair,,,
IC4169 NED01,,196.300042,38.770694,0.15,G,0.12,120,
IC4169 NED02,,196.302167,38.773556,0.51,G,0.47,130,
IC4170,,196.395208,21.135028,0.80,GPair,,,
IC4170 NED01,,196.395792,21.134944,0.51,G,0.50,79,
IC4170 NED02,,196.396958,21.129694,0.26,G,0.17,95,
IC4171,,196.328375,36.102889,0.71,G,0.39,82,
IC4172,,196.639000,22.850389,0.49,G,0.39,85,
IC4174,,196.369000,36.396417,,*,,,
IC4175,,196.447792,20.374694,0.40,G,0.27,138,
IC4177,,196.620625,-13.571639,0.87,G,0.45,90,
IC4178,,196.422917,36.017472,0.63,G,0.24,120,
IC4179,,196.441250,37.197806,,*,,,
IC4180,,196.735375,-23.917111,1.38,G,1.02,163,
IC4181,,196.526750,21.493889,0.53,G,0.47,125,
IC4182,,196.456417,37.604889,6.01,G,5.52,0,
IC4183,,196.548167,21.504361,0.46,G,0.40,113,
IC4184,,196.465708,38.837389,0.33,G,0.22,111,
IC4185,,196.552667,21.773028,1.00,GPair,,,
IC4185 NED01,,196.552375,21.769250,0.55,G,0.23,147,
IC4185 NED02,,196.553208,21.775861,0.32,G,0.19,21,
IC4186,,196.489000,36.986056,,**,,,
IC4187,,196.498417,36.298472,0.55,G,0.43,157,
IC4188,,196.509708,36.328222,0.46,G,0.37,53,
IC4189,,196.514792,35.980333,1.25,G,0.84,180,
IC4190,,196.526583,37.610028,,*,,,
IC4191,,197.196792,-67.643750,0.08,PN,,,
IC4192,,196.535833,37.605556,,Other,,,
IC4193,,196.526375,39.423611,0.49,G,0.32,61,
IC4194,,196.532458,38.873583,,*,,,
IC4195,,196.564292,37.039778,,*,,,
IC4197,,197.018042,-23.796861,1.84,G,1.12,162,
IC4199,,196.886125,35.859833,,*,,,
IC4200,,197.394833,-51.968583,1.69,G,1.06,154,
IC4201,,196.963417,35.834861,0.66,G,0.63,85,
IC4202,,197.131583,24.700778,1.74,G,0.36,142,
IC4203,,197.079458,40.427889,,*,,,
IC4204,,197.089917,39.461167,0.95,G,0.21,42,
IC4206,,197.341417,39.022250,,*,,,
IC4207,,197.361375,37.822944,0.49,G,0.30,2,
IC4208,,197.408292,37.255583,,*,,,
IC4209,,197.593708,-7.170694,1.28,G,0.53,99,
IC4211,,197.735333,37.176250,,*,,,
IC4212,,198.012458,-6.992500,0.33,G,0.21,140,
IC4213,,198.046750,35.669694,2.48,G,0.48,176,
IC4214,,199.427875,-32.101694,2.96,G,1.84,165,
IC4215,,199.070125,25.405222,1.55,G,0.36,46,
IC4216,,199.257792,-10.770000,2.05,G,0.77,53,
IC4217,,199.305333,-13.154083,0.68,G,0.62,30,
IC4218,,199.264208,-2.261278,1.20,G,0.37,159,
IC4219,,199.623917,-31.630889,1.12,G,0.97,114,
IC4220,,199.476333,-13.605472,0.85,G,0.61,105,
IC4221,,199.626458,-14.608889,1.54,G,0.71,167,
IC4223,,199.730042,7.795500,0.72,G,0.53,140,
IC4224,,199.771042,-2.515306,0.88,G,0.37,99,
IC4225,,200.003958,31.981389,1.64,G,0.33,131,
IC4226,,200.126708,32.003917,0.49,G,0.35,140,
IC4227,,200.222833,32.190778,0.54,G,0.44,77,
IC4228,,200.392083,25.516250,0.80,G,0.55,67,
IC4229,,200.608875,-2.418278,0.80,G,0.67,15,
IC4230,,200.496667,26.733861,1.19,G,0.36,1,
IC4231,,200.805750,-26.300389,2.06,G,0.57,34,
IC4232,,200.843542,-26.109500,1.19,G,0.37,4,
IC4234,,200.749458,27.116417,0.78,G,0.68,12,
IC4235,,200.970708,-12.743361,0.91,G,0.25,78,
IC4237,,201.136500,-21.136833,2.14,G,1.39,135,
IC4238,,200.999792,30.932417,0.87,G,0.24,29,
IC4239,,201.105958,30.959278,0.88,G,0.63,132,
IC4240,,201.114833,30.977917,0.54,G,0.25,34,
IC4241,,201.193958,26.738417,0.62,G,0.47,64,
IC4242,,201.170500,31.026500,0.58,G,0.41,137,
IC4243,,201.463500,-27.626889,0.50,G,0.38,35,
IC4244,,201.234458,26.463528,0.81,G,0.34,82,
IC4245,,201.496042,-26.677722,0.73,G,0.52,112,
IC4246,,201.501042,-26.678056,0.62,G,0.26,147,
IC4247,,201.685125,-30.362417,1.38,G,0.52,154,
IC4248,,201.696750,-29.881361,1.04,G,0.65,89,
IC4249,,201.777333,-27.956389,1.43,G,0.41,111,
IC4250,,201.537250,26.477167,0.55,G,0.32,53,
IC4251,,201.851167,-29.444361,0.98,G,0.65,145,
IC4252,,201.866667,-27.324778,2.00,G,1.08,135,
IC4253,,201.884875,-27.872139,1.41,G,0.71,135,
IC4254,,201.939042,-27.222528,0.75,G,0.54,81,
IC4255,,202.000500,-27.354306,1.34,G,0.99,45,
IC4256,,201.763292,30.976833,0.66,G,0.32,44,
IC4257,,201.834708,46.867000,,Other,,,
IC4258,,201.971917,28.508194,0.85,G,0.68,29,
IC4259,,202.367292,-30.134944,0.99,G,0.56,149,
IC4260,,202.418417,-28.266083,1.17,G,0.29,96,
IC4261,,202.448583,-28.006361,1.17,G,0.86,131,
IC4262,,202.596250,-28.270583,1.18,G,0.37,65,
IC4263,,202.138292,46.927194,1.71,G,0.42,102,
IC4264,,202.573833,-27.928444,1.88,G,0.47,105,
IC4265,,202.595708,-25.765556,0.84,G,0.53,5,
IC4266,,202.273458,37.611750,0.55,G,0.50,10,
IC4267,,202.650417,-26.256056,1.30,G,0.45,135,
IC4268,,202.301375,37.660500,0.63,G,0.46,90,
IC4269,,202.337667,37.623083,0.46,G,0.46,85,
IC4270,,202.704542,-25.333667,0.95,G,0.83,7,
IC4271,,202.339167,37.411667,0.80,GPair,,,
IC4271 NED01,,202.339333,37.414028,0.87,G,0.66,167,
IC4271 NED02,,202.338792,37.409667,0.30,G,0.23,141,
IC4272,,202.819000,-29.957361,0.98,G,0.18,111,
IC4273,,202.874417,-28.893444,0.95,G,0.64,24,
IC4275,,202.963750,-29.732389,0.95,G,0.54,25,
IC4276,,203.026083,-28.156833,1.32,G,0.18,61,
IC4277,,202.569667,47.314167,0.67,G,0.08,91,
IC4278,,202.614792,47.246889,0.43,G,0.40,65,
IC4279,,203.129042,-27.127472,0.68,G,0.38,52,
IC4280,,203.222500,-24.207139,1.13,G,0.76,64,
IC4281,,203.159375,-27.169639,1.30,G,0.79,98,
IC4282,,202.832375,47.183861,0.40,G,0.38,156,
IC4283,,203.044500,28.389111,0.65,G,0.34,69,
IC4284,,202.883083,46.795111,0.32,G,0.30,21,
IC4285,,202.939750,46.821611,0.32,G,0.17,92,
IC4286,,203.398542,-27.631222,0.41,G,0.34,20,
IC4287,,203.162500,25.441111,1.00,GPair,,,
IC4287 NED01,,203.162375,25.441111,0.96,G,0.46,152,
IC4287 NED02,,203.165250,25.440194,0.22,G,0.15,15,
IC4288,,203.626750,-27.304222,1.36,G,0.60,114,
IC4289,,203.699208,-27.127083,1.40,G,0.62,8,
IC4290,,203.831583,-28.021806,1.35,G,1.11,99,
IC4291,,204.235042,-62.093111,5.10,OCl,,,
IC4292,,203.944167,-27.673861,0.56,G,0.48,14,
IC4293,,204.009417,-25.882306,2.19,G,1.39,177,
IC4294,,204.130125,-28.781139,0.93,G,0.45,32,
IC4295,,204.143583,-29.089444,1.04,G,0.40,114,
IC4296,,204.162625,-33.965833,4.62,G,2.43,42,
IC4297,,203.830208,26.424778,0.88,G,0.40,70,
IC4298,,204.144708,-26.553861,1.60,G,0.82,177,
IC4299,,204.197833,-34.065806,1.87,G,0.81,58,
IC4300,,203.855000,33.419806,0.23,G,0.23,12,
IC4301,,203.899167,33.374500,1.29,G,0.39,130,
IC4302,,203.899792,33.479583,1.36,G,0.27,126,
IC4303,,204.325917,-28.657972,0.98,G,0.54,71,
IC4304,,203.991167,33.430028,1.31,G,0.55,41,
IC4305,,203.993208,33.473917,0.98,G,0.86,173,
IC4306,,204.081833,33.423444,1.10,G,0.39,81,
IC4307,,204.150708,27.242194,0.66,G,0.59,84,
IC4308,,204.218167,32.733361,,Other,,,
IC4309,,204.708500,-29.662722,0.77,G,0.50,132,
IC4310,,204.738083,-25.845722,2.38,G,0.96,73,
IC4311,,205.033167,-51.036139,1.11,G,0.78,161,
IC4312,,205.128750,-51.070889,1.21,G,0.89,75,
IC4313,,204.586292,26.759778,0.59,G,0.38,38,
IC4314,,204.604458,26.742500,0.91,G,0.65,10,
IC4315,,205.013292,-25.474556,1.60,G,0.32,132,
IC4316,,205.076708,-28.892222,1.38,G,1.00,56,
IC4317,,205.440917,27.106361,0.51,G,0.34,23,
IC4318,,205.844542,-28.967944,1.08,G,0.95,10,
IC4319,,205.860708,-29.803472,1.61,G,0.54,73,
IC4320,,206.015500,-27.231694,1.31,G,1.18,30,
IC4321,,206.130208,-30.139583,1.02,G,0.62,33,
IC4322,,205.933958,25.392139,0.69,G,0.55,71,
IC4323,,206.278667,-28.651250,1.10,G,0.20,58,
IC4324,,206.363792,-30.227222,0.90,G,0.57,126,
IC4325,,206.915208,-29.434361,1.20,G,0.48,101,
IC4326,,207.089542,-29.626389,1.00,G,0.81,166,
IC4327,,207.182500,-30.217500,1.15,G,0.58,56,
IC4328,,207.262083,-29.937028,1.07,G,0.70,174,
IC4329,,207.272125,-30.295861,4.74,G,2.65,67,
IC4330,,206.811875,-28.331806,1.29,G,0.65,93,
IC4331,,207.352542,25.154667,0.63,G,0.51,64,
IC4332,,207.468958,25.190889,0.85,G,0.78,3,
IC4333,,211.335792,-84.272694,1.80,G,0.46,60,
IC4334,,207.451125,29.694083,0.59,G,0.50,147,
IC4335,,207.437792,33.673639,,*,,,
IC4336,,207.680708,39.706778,1.37,G,0.41,155,
IC4337,,208.080333,14.271917,0.77,G,0.38,106,
IC4339,,208.370125,37.539028,,*,,,
IC4340,,208.389708,37.386972,1.27,G,0.90,31,
IC4341,,208.392708,37.522250,0.92,G,0.84,50,
IC4342,,208.592125,25.153083,1.09,G,0.43,53,
IC4343,,208.732500,25.122639,1.05,G,0.61,102,
IC4344,,208.802458,25.021444,1.10,G,0.70,67,
IC4345,,208.805792,25.051806,1.23,G,1.18,134,
IC4346,,208.919042,25.153056,0.73,G,0.66,4,
IC4348,,208.937875,25.203111,1.13,G,1.13,117,
IC4349,,208.943083,25.151917,1.04,G,0.50,119,
IC4350,,209.308000,-25.245806,1.88,G,0.74,133,
IC4351,,209.476083,-29.315722,6.55,G,1.04,18,
IC4352,,209.604667,-34.517333,1.82,G,0.73,88,
IC4353,,209.265417,37.729056,,Other,,,
IC4354,,209.628750,-12.605361,1.36,G,0.33,106,
IC4355,,209.525500,28.422694,0.43,G,0.40,54,
IC4356,,209.687917,37.490667,0.54,G,0.46,15,
IC4357,,210.182042,31.894167,0.93,G,0.51,67,
IC4358,,210.892417,-10.151250,1.39,G,0.29,111,
IC4359,,211.347208,-45.269778,1.18,G,0.89,13,
IC4360,,211.088917,-11.424833,0.78,G,0.47,33,
IC4361,,211.031125,-9.768889,0.66,G,0.34,170,
IC4362,,211.342583,-41.818972,1.81,G,0.69,147,
IC4363,,211.051250,-9.641639,0.45,G,0.21,25,
IC4364,,211.082167,-9.993278,0.91,G,0.66,106,
IC4366,,211.297833,-33.760111,1.63,G,1.21,149,
IC4367,,211.402417,-39.203361,1.64,G,1.43,71,
IC4368,,211.193500,-9.962250,0.55,G,0.38,40,
IC4369,,211.024458,33.320722,0.44,G,0.38,29,
IC4370,,211.041083,33.346000,0.44,G,0.33,96,
IC4371,,211.045292,33.307806,0.81,G,0.54,50,
IC4372,,211.442042,-10.900083,0.48,G,0.15,75,
IC4373,,211.429875,25.231361,0.82,G,0.78,23,
IC4374,,211.874000,-27.017861,1.80,G,1.39,106,
IC4376,,212.710292,-30.792750,,Other,,,
IC4377,,214.245042,-75.647194,1.98,G,0.69,95,
IC4378,,213.039875,-34.265333,1.54,G,0.61,158,
IC4379,,213.042667,-34.272722,0.92,G,0.42,93,
IC4380,,212.508833,37.549861,0.73,G,0.68,10,
IC4382,,212.760583,25.519361,0.64,G,0.16,9,
IC4384,,212.983417,27.113917,1.13,G,0.80,165,
IC4385,,213.632167,-42.323611,,Other,,,
IC4386,,213.759875,-43.961333,2.57,G,0.38,146,
IC4387,,213.757292,-43.990111,1.26,G,0.72,67,
IC4388,,214.014500,-31.752639,1.14,G,0.97,4,
IC4389,,214.192500,-40.552500,0.83,G,0.60,100,
IC4390,,214.246667,-44.977333,1.95,G,0.63,10,
IC4391,,214.112667,-31.684972,0.98,G,0.78,55,
IC4392,,213.971542,-13.051250,,Other,,,
IC4393,,214.453958,-31.349083,2.30,G,0.38,75,
IC4394,,214.093167,39.697694,,Other,,,
IC4395,,214.337833,26.857444,1.16,G,0.80,25,
IC4396,,214.376000,28.800000,0.63,G,0.41,21,
IC4397,,214.494667,26.412556,1.08,G,0.74,160,
IC4398,,214.514333,28.866389,0.62,G,0.56,10,
IC4399,,214.599833,26.385889,0.71,G,0.35,139,
IC4400,,215.556042,-60.569806,,Other,,,
IC4401,,214.854458,-4.489139,1.50,G,0.60,10,
IC4402,,215.304542,-46.297889,5.78,G,0.96,126,
IC4403,,214.570292,31.653833,1.23,G,0.48,137,
IC4404,,212.709042,78.628306,,*,,,
IC4405,,214.819125,26.298583,1.35,G,0.87,105,
IC4406,,215.610333,-44.150194,0.58,PN,,,
IC4407,,215.903583,-5.983222,1.48,G,0.71,173,
IC4408,,215.304542,29.993500,0.83,G,0.39,128,
IC4409,,215.388750,31.585528,0.79,G,0.54,38,
IC4410,,215.558125,17.397333,0.79,G,0.41,57,
IC4411,,216.254583,-35.020611,,Other,,,
IC4413,,215.738833,37.527417,0.51,G,0.40,129,
IC4415,,216.111333,16.639611,0.62,G,0.30,139,
IC4416,,216.072583,29.635806,0.92,G,0.67,130,
IC4417,,216.223708,17.037917,1.11,G,0.78,144,
IC4418,,216.363500,25.526278,0.94,G,0.80,96,
IC4419,,216.477792,16.632528,0.79,G,0.52,148,
IC4420,,216.414208,25.378361,0.67,G,0.37,18,
IC4421,,217.130458,-37.583750,1.43,G,1.08,164,
IC4422,,216.496375,30.473722,0.74,G,0.65,142,
IC4423,,216.573917,26.246139,1.02,G,0.57,71,
IC4425,,216.684083,27.189528,0.64,G,0.58,3,
IC4426,,216.821208,16.830972,0.69,G,0.65,5,
IC4427,,216.748208,26.863972,0.86,G,0.35,116,
IC4428,,216.856458,16.190833,0.76,G,0.35,49,
IC4429,,216.905708,16.899861,1.02,G,0.61,96,
IC4430,,217.330833,-33.455111,2.47,G,1.26,24,
IC4432,,217.207333,-39.552194,0.85,G,0.22,47,
IC4433,,216.972292,16.195556,0.48,G,0.34,44,
IC4434,,216.978083,16.207167,0.64,G,0.46,6,
IC4435,,216.851167,37.471444,0.94,G,0.94,50,
IC4436,,216.992417,26.504500,1.20,G,1.03,87,
IC4437,,216.881917,41.503222,,**,,,
IC4438,,217.143625,17.334556,0.48,G,0.40,77,
IC4439,,217.166833,17.024750,0.67,G,0.36,76,
IC4440,,217.246833,17.320583,0.77,G,0.46,72,
IC4441,,217.910917,-43.418444,1.95,G,1.53,83,
IC4442,,217.188625,28.964250,0.85,G,0.50,15,
IC4443,,217.322875,16.181556,0.62,G,0.28,12,
IC4445,,217.977542,-46.035306,1.19,G,0.45,154,
IC4446,,217.255500,37.463139,0.77,G,0.40,109,
IC4447,,217.324917,30.832222,0.82,G,0.67,174,
IC4448,,220.116500,-78.809222,1.10,G,0.86,176,
IC4449,,217.839958,15.240861,0.72,G,0.41,115,
IC4450,,218.051417,28.556833,0.98,G,0.45,48,
IC4451,,218.654750,-36.285833,1.79,G,1.29,95,
IC4452,,218.114292,27.427417,0.50,G,0.47,78,
IC4453,,218.619375,-27.518556,2.09,G,0.97,160,
IC4454,,218.319542,17.711806,0.45,G,0.32,0,
IC4456,,218.538208,16.184028,0.58,G,0.21,129,
IC4457,,218.620333,18.224694,0.46,G,0.39,85,
IC4458,,219.524458,-39.505972,0.59,G,0.26,70,
IC4459,,218.634167,30.974667,0.89,G,0.30,13,
IC4460,,218.652208,30.279389,0.55,G,0.41,161,
IC4461,,218.751583,26.531917,0.41,G,0.28,117,
IC4462,,218.757917,26.543917,0.74,G,0.54,11,
IC4463,,218.954167,16.019278,0.81,G,0.61,30,
IC4464,,219.454167,-36.878000,1.68,G,0.67,62,
IC4465,,218.963167,15.572917,0.56,G,0.23,80,
IC4466,,219.200458,18.343778,1.00,G,1.00,14,
IC4467,,219.223625,18.370639,0.54,G,0.48,32,
IC4468,,219.611417,-22.367611,2.30,G,0.54,158,
IC4469,,219.335375,18.249333,1.67,G,0.22,109,
IC4470,,217.095375,78.885611,0.89,G,0.25,94,
IC4472,,220.045167,-44.314583,2.69,G,0.60,0,
IC4473,,219.475583,15.861667,1.20,GTrpl,,,
IC4473 NED01,,219.476625,15.860694,0.74,G,0.59,1,
IC4473 NED02,,219.475208,15.863667,0.93,G,0.59,178,
IC4473 NED03,,219.475917,15.870167,0.12,G,0.12,0,
IC4474,,219.592917,23.428750,0.65,G,0.52,134,
IC4475,,219.596917,23.333556,1.05,G,0.88,26,
IC4476,,219.966042,-16.244750,0.76,G,0.55,164,
IC4477,,219.646833,28.459389,0.60,G,0.34,16,
IC4478,,219.802875,15.877389,0.58,G,0.49,61,
IC4479,,219.691250,28.505444,1.16,G,1.07,17,
IC4480,,219.940125,18.492361,0.64,G,0.58,65,
IC4481,,220.042125,16.141444,0.50,G,0.35,68,
IC4482,,220.051917,18.943278,0.62,G,0.56,25,
IC4483,,220.081292,16.685222,1.34,G,0.46,25,
IC4484,,221.932833,-73.305944,2.96,G,0.30,132,
IC4485,,220.131083,28.668861,0.64,G,0.37,43,
IC4486,,220.419958,18.557222,0.52,G,0.32,142,
IC4487,,220.467458,18.577000,0.68,G,0.52,22,
IC4488,,220.719083,18.620278,0.61,G,0.39,9,
IC4489,,220.816458,18.528611,0.42,G,0.36,122,
IC4490,,221.338625,-36.173361,,**,,,
IC4492,,220.641125,37.452333,0.63,G,0.50,61,
IC4494,,221.106417,15.551389,0.93,G,0.39,136,
IC4495,,221.060708,23.558389,0.78,G,0.44,10,
IC4496,,220.977417,33.406556,0.85,G,0.69,45,
IC4497,,221.086917,28.551028,0.84,G,0.81,134,
IC4498,,221.253292,26.301139,0.75,G,0.70,17,
IC4499,,225.080208,-82.213500,5.10,GCl,,,
IC4500,,221.148583,37.482472,0.56,G,0.44,74,
IC4501,,221.856125,-22.406028,1.03,G,0.75,59,
IC4502,,221.315958,37.300361,0.64,G,0.33,110,
IC4503,,221.664625,16.146444,1.20,G,1.05,6,
IC4504,,221.654083,31.699194,0.51,G,0.29,98,
IC4505,,221.639042,33.408611,1.13,G,0.78,176,
IC4506,,221.666417,33.401222,0.49,G,0.44,2,
IC4507,,221.925667,18.455722,0.68,G,0.41,149,
IC4508,,221.964208,31.768278,0.76,G,0.60,31,
IC4509,,222.112750,31.791583,0.83,G,0.20,46,
IC4510,,222.669625,-20.730889,,Other,,,
IC4511,,223.022000,-40.494917,,Other,,,
IC4512,,222.476250,27.700806,0.55,G,0.50,162,
IC4513,,223.070125,-20.727917,,Other,,,
IC4514,,222.731000,27.578528,0.83,G,0.68,124,
IC4515,,222.777792,37.494806,0.98,G,0.70,61,
IC4516,,223.597708,16.355278,1.36,G,1.09,158,
IC4517,,223.646208,23.643278,1.12,G,0.30,156,
IC4518,,224.428750,-43.131667,2.00,GPair,,,
IC4518A,,224.421583,-43.132111,0.92,G,0.32,135,
IC4518B,,224.435250,-43.131361,1.26,G,0.24,106,
IC4519,,223.685583,37.412722,0.89,G,0.48,124,
IC4520,,223.779208,33.724444,0.51,G,0.41,120,
IC4521,,224.864375,25.584083,0.66,G,0.44,114,
IC4522,,227.870500,-75.859972,3.02,G,0.86,112,
IC4523,,226.293917,-43.509528,1.65,G,1.49,119,
IC4524,,225.526500,25.601500,0.64,G,0.48,19,
IC4525,,225.603583,25.638500,0.58,G,0.52,31,
IC4526,,225.659167,23.350444,0.50,G,0.37,19,
IC4527,,226.420917,-42.449528,1.43,G,0.51,49,
IC4528,,225.389042,49.112472,0.81,G,0.60,155,
IC4529,,226.608250,-43.232639,0.77,G,0.46,6,
IC4530,,225.938792,26.100861,0.91,G,0.16,19,
IC4531,,226.110167,23.414944,0.92,G,0.53,178,
IC4532,,226.224208,23.256611,0.86,G,0.58,92,
IC4533,,226.126417,27.792861,0.98,G,0.66,154,
IC4534,,226.674042,23.641917,1.45,G,0.79,164,
IC4535,,227.173333,37.570333,0.54,G,0.23,162,
IC4536,,228.321792,-18.137278,1.32,G,0.89,4,
IC4537,,229.385167,2.047389,0.75,G,0.43,45,
IC4538,,230.298375,-23.658417,2.48,G,1.95,55,
IC4539,,229.629792,32.392861,0.55,G,0.45,153,
IC4540,,230.012958,1.786583,,Other,,,
IC4541,,232.481542,-70.584944,1.74,G,0.53,151,
IC4542,,230.522458,33.148583,1.05,G,0.65,102,
IC4544,,232.345792,-50.583444,,Nova,,,
IC4545,,235.365750,-81.625944,2.02,G,0.85,166,
IC4546,,231.743375,28.852611,0.70,G,0.60,104,
IC4547,,231.812792,28.788972,0.80,G,0.57,138,
IC4548,,231.850083,28.849833,0.48,G,0.33,11,
IC4549,,232.310708,32.825556,0.70,G,0.23,96,
IC4552,,234.728708,4.583056,1.00,G,0.94,70,
IC4553,,233.738542,23.503139,1.11,G,0.72,96,
IC4554,,233.770125,23.479278,0.47,G,0.33,151,
IC4555,,237.061708,-78.178861,2.14,G,0.46,62,
IC4556,,233.843542,25.297139,1.17,G,1.06,141,
IC4557,,233.653875,39.728889,0.52,G,0.36,137,
IC4558,,233.942500,25.345889,0.45,G,0.28,158,
IC4559,,233.973000,25.341139,0.64,G,0.44,70,
IC4560,,233.975333,39.814111,0.61,G,0.35,104,
IC4561,,234.196125,25.416806,0.83,G,0.45,129,
IC4562,,233.987500,43.493250,1.19,G,1.09,55,
IC4563,,234.015333,39.831528,1.06,G,0.54,163,
IC4564,,234.112750,43.518778,1.20,G,0.44,71,
IC4565,,234.146375,43.424889,0.80,G,0.46,11,
IC4566,,234.175667,43.539333,1.35,G,0.89,163,
IC4567,,234.305292,43.298306,1.34,G,0.96,131,
IC4568,,235.032083,28.152278,0.54,G,0.25,39,
IC4569,,235.201583,28.292083,0.91,G,0.82,115,
IC4570,,235.344125,28.229750,0.76,G,0.67,178,
IC4571,,237.214583,-67.323472,1.58,G,0.57,139,
IC4572,,235.475792,28.134000,1.16,G,0.78,76,
IC4573,,235.551417,23.799972,0.62,G,0.27,138,
IC4574,,235.496833,28.240333,0.63,G,0.36,23,
IC4575,,235.581875,23.807639,0.50,G,0.35,84,
IC4576,,235.647917,23.670056,1.39,G,0.90,79,
IC4577,,235.689833,23.792639,0.58,G,0.49,145,
IC4578,,238.294417,-74.825278,1.63,G,0.62,139,
IC4579,,235.714625,23.773167,0.55,G,0.43,72,
IC4580,,235.809333,28.356833,0.98,G,0.48,164,
IC4581,,236.006333,28.277028,0.79,G,0.60,24,
IC4582,,236.414375,28.088667,1.20,G,0.31,172,
IC4583,,236.591417,23.809028,1.21,G,0.28,39,
IC4584,,240.051083,-66.383278,1.96,G,1.64,90,
IC4585,,240.073500,-66.322278,1.58,G,0.76,56,
IC4587,,239.965042,25.940639,0.83,G,0.56,98,
IC4588,,241.267708,23.917139,0.50,G,0.39,141,
IC4589,,241.852458,-6.385306,,*,,,
IC4590,,242.088125,28.478694,0.65,G,0.43,158,
IC4591,,243.075667,-27.927750,12.00,HII,10.00,,
IC4592,,242.994458,-19.454667,60.00,RfN,40.00,,
IC4593,,242.935417,12.071389,0.66,PN,,,
IC4595,,245.185167,-70.142611,3.26,G,0.55,60,
IC4596,,244.015042,-22.625389,1.66,G,0.38,56,
IC4597,,244.415542,-34.365944,1.27,G,1.02,145,
IC4598,,244.555458,-31.442889,1.46,G,0.40,175,
IC4599,,244.846542,-42.260139,0.24,PN,,,
IC4600,,244.536125,-22.785528,,Other,,,
IC4601,,245.074167,-20.087306,20.00,Neb,10.00,,
IC4603,,246.352000,-24.468361,20.00,Neb,5.00,,
IC4604,rho Oph Nebula,246.379875,-23.436583,60.00,Neb,25.00,,
IC4605,,247.552000,-25.115167,30.00,Neb,15.00,,
IC4606,,247.891208,-26.056528,,Other,,,
IC4607,,247.566125,24.574361,0.72,G,0.38,149,
IC4608,,251.724917,-77.488694,0.86,G,0.64,74,
IC4609,,248.256750,22.797389,0.87,G,0.83,19,
IC4610,,248.413167,39.257639,1.03,G,0.31,50,
IC4611,,248.426417,39.185139,0.51,G,0.46,20,
IC4612,,248.456750,39.263194,1.00,G,1.00,103,
IC4613,,249.292292,36.130583,,Other,,,
IC4614,,249.446583,36.115000,0.77,G,0.69,85,
IC4617,,250.533583,36.684083,0.69,G,0.40,32,
IC4618,,254.458375,-76.992972,1.69,G,0.81,119,
IC4619,,251.046333,17.759167,0.69,G,0.58,85,
IC4620,,252.125167,19.305389,0.71,G,0.51,93,
IC4621,,252.713208,8.783667,0.81,G,0.62,151,
IC4622,,253.034625,-16.236250,,Other,,,
IC4623,,252.772250,22.527417,0.70,G,0.36,107,
IC4624,,252.889750,17.449111,0.47,G,0.32,115,
IC4626,,253.339292,2.338722,,**,,,
IC4627,,253.536458,-7.635333,0.65,G,0.27,74,
IC4628,,254.243458,-40.450972,89.13,Neb,58.88,,
IC4629,,254.041625,-16.709889,,Other,,,
IC4630,,253.789917,26.662917,0.84,G,0.49,20,
IC4631,,257.750125,-77.603556,,Other,,,
IC4632,,254.633875,22.915556,,Other,,,
IC4633,,258.446000,-77.536194,2.70,G,1.32,148,
IC4634,,255.389958,-21.825972,0.14,PN,,,
IC4635,,258.913292,-77.489528,1.62,G,0.45,160,
IC4636,,254.778417,47.195417,,*,,,
IC4637,,256.295083,-40.886361,0.31,PN,,,
IC4638,,255.307083,33.513194,0.68,G,0.51,53,
IC4639,,255.728125,22.930028,0.58,G,0.51,152,
IC4640,,260.993125,-80.064083,1.34,G,1.20,130,
IC4641,,261.043000,-80.147417,1.22,G,1.12,45,
IC4642,,257.938417,-55.399000,0.28,PN,,,
IC4644,,261.153750,-73.940111,1.75,G,0.47,134,
IC4645,,258.679708,43.104111,0.57,G,0.50,121,
IC4646,,260.971625,-59.999389,2.77,G,1.85,179,
IC4647,,261.515583,-80.195111,1.64,G,0.84,176,
IC4648,,259.041792,43.862583,,**,,,
