name,common,ra_deg,dec_deg,major_arcmin,type,minor_arcmin,pos_angle,messier
IC0119,,21.979250,-2.040472,1.19,G,0.58,77,
IC0120,,22.054000,-1.915528,0.92,G,0.33,138,
IC0121,,22.090750,2.513028,1.00,G,0.62,108,
IC0122,,22.055000,-14.838889,0.65,G,0.32,14,
IC0123,,22.214417,2.446444,0.67,G,0.47,44,
IC0124,,22.287833,-1.937028,,*,,,
IC0125,,22.326458,-13.279833,0.61,G,0.59,53,
IC0126,,22.449417,-1.983750,0.89,G,0.81,30,
IC0127,,22.448375,-6.980056,1.69,G,0.45,110,
IC0128,,22.849458,-12.624389,0.82,G,0.61,165,
IC0129,,22.880250,-12.654389,1.23,G,0.60,63,
IC0130,,22.869750,-15.591611,0.75,G,0.64,27,
IC0131,,23.310750,30.753250,0.30,HII,,,
IC0132,,23.316333,30.945611,0.67,HII,0.55,,
IC0133,,23.313250,30.888389,0.45,HII,0.45,,
IC0134,,23.354167,30.900667,,*,,,
IC0135,,23.564708,30.620083,0.40,HII,,,
IC0136,,23.566833,30.562056,,*Ass,,,
IC0137,,23.412125,30.522500,,*Ass,,,
IC0138,,23.258250,-0.689833,1.12,G,0.74,23,
IC0139,,23.496833,30.567444,,*Ass,,,
IC0140,,23.492375,30.550139,,*Ass,,,
IC0141,,23.215458,-14.814611,1.23,G,0.91,5,
IC0142,,23.481375,30.757806,0.50,HII,,,
IC0143,,23.545542,30.776417,0.30,HII,,,
IC0144,,24.420208,-13.314667,0.74,G,0.67,46,
IC0145,,24.660333,0.741500,0.69,G,0.50,6,
IC0147,,24.998958,-14.862639,0.76,G,0.42,58,
IC0148,,25.612375,13.977028,1.82,G,0.57,45,
IC0149,,25.605750,-16.300417,1.27,G,0.41,82,
IC0150,,25.739667,4.200167,0.88,G,0.50,137,
IC0151,,25.989458,13.202611,,Other,,,
IC0152,,26.030792,13.035861,,Other,,,
IC0153,,26.150875,12.628944,,Other,,,
IC0154,,26.317792,10.649194,1.19,G,0.23,66,
IC0155,,26.884708,60.610833,,Other,,,
IC0156,,26.371708,10.552722,1.51,G,1.33,105,
IC0157,,26.426667,12.873333,,Other,,,
IC0158,,26.473000,-6.935694,0.70,G,0.53,140,
IC0159,,26.604375,-8.636611,1.35,G,0.75,28,
IC0160,,26.623167,-13.247722,1.28,G,0.86,85,
IC0161,,27.182250,10.507889,0.90,G,0.54,67,
IC0162,,27.222625,10.521611,1.32,G,1.28,85,
IC0163,,27.312458,20.711306,1.62,G,0.73,90,
IC0164,,27.285042,-3.904389,1.58,G,1.35,167,
IC0166,,28.099250,61.852611,7.50,OCl,,,
IC0167,,27.785667,21.912806,1.60,G,0.94,107,
IC0168,,27.615125,-8.522944,1.12,G,0.39,104,
IC0169,,27.664000,-12.679611,0.74,G,0.51,76,
IC0170,,27.989667,-8.517611,0.78,G,0.60,92,
IC0171,,28.792542,35.281889,2.26,G,1.90,107,
