name,ra_deg,dec_deg,mag
Deneb Algedi,326.76018,-16.12729,2.85
Vindemiatrix,195.54416,10.95915,2.85
Tejat,95.74011,22.51358,2.87
Acamar,44.56531,-40.30467,2.88
Albaldah,287.44097,-21.02361,2.88
Cor Caroli,194.00694,38.31838,2.89
Fang,239.71297,-26.11411,2.89
Gomeisa,111.78767,8.28932,2.89
Alniyat,245.29715,-25.59279,2.9
Fawaris,296.24366,45.13081,2.9
Sadalsuud,322.88972,-5.57118,2.9
Matar,340.75058,30.22124,2.93
Algorab,187.46606,-16.51543,2.94
Sadalmelik,331.44598,-0.31985,2.95
Tianguan,84.41119,21.14254,2.97
Zaurak,59.50736,-13.50852,2.97
Alnasl,271.45202,-30.4241,2.98
Okab,286.35253,13.86348,2.99
Aldhanab,328.48219,-37.36485,3.0
Pherkad,230.18215,71.83402,3.0
Xamidimura,252.96763,-38.04738,3.0
Furud,95.0783,-30.06337,3.02
Almaaz,75.49222,43.82331,3.03
Seginus,218.01947,38.30825,3.04
Dabih,305.2528,-14.7814,3.05
Mebsuta,100.98303,25.13113,3.06
Tania Australis,155.58225,41.49952,3.06
Altais,288.13875,67.66154,3.07
Sarin,258.75796,24.8392,3.12
Talitha,134.80189,48.04183,3.12
Wazn,87.73997,-35.76831,3.12
Aldhibah,257.19665,65.71468,3.17
Haedus,76.62872,41.23448,3.18
Fuyue,267.4645,-37.0433,3.19
Tabit,72.46004,6.96127,3.19
Errai,354.83666,77.63231,3.21
Alfirk,322.16499,70.56072,3.23
Yed Posterior,244.58037,-4.69251,3.23
Brachium,226.01757,-25.28196,3.25
Sulafat,284.73593,32.68956,3.25
Skat,343.66256,-15.82083,3.27
Edasich,231.2324,58.96606,3.29
Megrez,183.8565,57.03261,3.32
Propus,93.7194,22.50679,3.32
Chertan,168.56002,15.42957,3.33
Alzirr,101.32235,12.89559,3.35
Muscida,127.56613,60.71817,3.35
Segin,28.59886,63.6701,3.35
Albireo,292.68035,27.95969,3.37
Rasalgethi,258.66191,14.39033,3.37
Heze,203.6733,-0.59582,3.38
Meissa,83.78449,9.93416,3.39
Minelauva,193.90087,3.39747,3.39
Homam,340.3655,10.83136,3.41
Mothallah,28.27045,29.57883,3.42
Adhafera,154.17257,23.41731,3.43
Porrima,190.41518,-1.44937,3.44
Azmidi,117.32356,-24.85979,3.45
Tania Borealis,154.27409,42.91436,3.45
Achird,12.27621,57.81519,3.46
Alula Borealis,169.61974,33.0943,3.49
Ashlesha,131.69379,6.41881,3.49
Nekkar,225.48651,40.39057,3.49
Nganurganity,105.42978,-27.93483,3.49
Sadalbari,342.50081,24.60158,3.51
Biham,332.54994,6.19786,3.52
Subra,145.28764,9.89231,3.52
Wasat,110.03075,21.98232,3.52
Ain,67.15416,19.18043,3.53
Rana,55.81209,-9.76339,3.53
Tarf,124.12884,9.18554,3.53
Kaffaljidhma,40.82516,3.23582,3.56
Pipirima,253.08394,-38.01754,3.56
Algedi,304.51357,-12.54485,3.58
Ginan,185.34004,-60.40115,3.59
Nembus,24.49815,48.62821,3.59
Zavijava,177.67383,1.76472,3.59
Sheliak,282.51998,33.36267,3.6
Bharani,42.49597,27.26051,3.61
Atlas,57.2906,24.05342,3.62
Rotanev,309.38723,14.59511,3.64
Prima Hyadum,64.94835,15.62764,3.65
Thuban,211.09729,64.37585,3.67
Fulu,9.24285,53.89691,3.69
Nashira,325.02274,-16.66231,3.69
Saclateni,75.61953,41.07584,3.69
Taiyangshou,176.51256,47.77941,3.69
Alshain,298.8283,6.40676,3.71
Electra,56.2189,24.11334,3.72
Chamukuy,67.16559,15.87088,3.73
Grumium,268.38221,56.87265,3.73
Ran,53.23269,-9.45826,3.73
Baten Kaitos,27.86514,-10.33504,3.74
Miram,42.67421,55.8955,3.77
Albali,311.91897,-9.49578,3.78
Secunda Hyadum,65.73372,17.54251,3.78
Misam,47.37405,44.85754,3.79
Praecipua,163.32794,34.21487,3.79
Theemin,68.88766,-30.56234,3.81
Alrescha,30.51177,2.76374,3.82
Giausar,172.85092,69.33107,3.82
Marfik,247.72845,1.98389,3.82
Alpherg,22.87087,15.34582,3.83
Atik,56.07972,32.28824,3.84
Polis,273.44087,-21.05883,3.84
Dalim,48.01886,-28.98762,3.86
Sadachbia,335.41406,-1.38733,3.86
Sualocin,309.90953,15.91207,3.86
Iklil,239.22115,-29.21407,3.87
Maia,56.4567,24.36775,3.87
Rasalas,148.1909,26.00695,3.88
Azha,44.10687,-8.89814,3.89
Nusakan,231.95721,29.1057,3.9
Ukdah,144.96401,-1.14281,3.9
Zubenelhakrabi,233.88158,-14.78954,3.91
Kitalpha,318.95595,5.24787,3.92
Asellus Australis,131.17125,18.15431,3.94
Arkab Prior,290.65955,-44.45896,3.96
Rukbat,290.97157,-40.61594,3.96
Beemim,66.00924,-34.01685,3.97
Menkib,59.74125,35.79103,3.98
Alcor,201.3064,54.98795,3.99
Mekbuda,106.02721,20.5703,4.01
Alchiba,182.1034,-24.72887,4.02
Sceptrum,69.5451,-14.30402,4.02
Wurren,17.09617,-55.24576,4.02
Aldulfin,308.30322,11.30326,4.03
Beid,62.96641,-6.83758,4.04
Syrma,214.00362,-6.00054,4.07
Alkes,164.9436,-18.29878,4.08
Gudja,237.1849,18.14156,4.09
Titawin,24.19934,41.40546,4.09
Meridiana,287.36809,-37.90447,4.11
Muliphein,105.93955,-15.63329,4.11
Zhang,147.86956,-14.8466,4.11
Merope,56.58155,23.94835,4.14
Alkaphrah,135.90636,47.15653,4.16
Ancha,334.20848,-7.78329,4.17
Kang,213.22394,-10.2737,4.18
Xuange,214.09591,46.08831,4.18
Chara,188.4356,41.35748,4.24
Alsciaukat,125.70879,43.18813,4.25
Acubens,134.62176,11.8577,4.26
Kurhah,330.94772,64.62797,4.26
Arkab Posterior,290.80474,-44.79978,4.27
Torcular,26.34847,9.15774,4.29
Taygeta,56.30206,24.46727,4.3
Alkalurops,231.12262,37.37717,4.31
Alterf,142.93012,22.96797,4.32
Botein,47.90736,19.72667,4.35
Yildun,263.05413,86.58646,4.35
Sham,295.02413,18.01389,4.39
Alula Australis,169.54542,31.52916,4.41
Maasym,262.68463,26.11065,4.41
Alkarab,351.34493,23.4041,4.42
Aladfar,288.43953,39.14597,4.43
Keid,63.818,-7.65287,4.43
Anser,292.17638,24.6649,4.44
Minchir,129.68932,3.34144,4.45
Fumalsamakah,345.96922,3.82004,4.48
Jabbah,242.99889,-19.46071,4.5
Khambalia,214.77747,-13.3711,4.52
Lilii Borea,41.97726,29.24712,4.52
Cujam,246.35398,14.03327,4.57
Dziban,265.48481,72.14885,4.57
Salm,350.15934,23.74034,4.58
Zaniah,184.97648,-0.66679,4.6
Alya,284.05495,4.2036,4.62
Castula,14.16627,59.18106,4.62
Asellus Borealis,130.82144,21.4685,4.66
Alsafi,293.08996,69.66118,4.67
Azelfafage,325.5236,51.18962,4.69
Terebellum,298.95984,-26.29953,4.7
Libertas,298.56201,8.46145,4.71
Mesarthim,28.38256,19.29385,4.75
Angetenar,42.75967,-21.00402,4.76
Alshat,305.1659,-12.75908,4.77
Bunda,324.43796,-7.8542,4.8
Zibal,48.95844,-8.81973,4.8
Fafnir,276.49641,65.56348,4.82
Elgafar,217.05058,-2.22796,4.84
Diadem,197.49703,17.52945,4.85
Ainalrami,283.5424,-22.74484,4.86
Adhil,20.58508,45.52878,4.87
Jishui,114.79139,34.58435,4.89
Felis,148.71753,-19.00934,4.94
Elkurud,91.8818,-37.25292,5.0
Marsic,242.01886,17.04698,5.0
Chalawan,164.86655,40.43026,5.03
Situla,339.43908,-4.22806,5.04
Pleione,57.29674,24.13671,5.05
Guniibuu,258.83787,-26.59889,5.07
Cervantes,266.03625,-51.83405,5.15
Revati,18.43286,7.57535,5.21
Veritate,352.82256,39.2362,5.22
Taiyi,193.86895,65.43847,5.23
